commit	avg_score	passed	task_scores	cost_usd	status	description
1276def	0.000	0/1	codir-brief:0.0	0.05	keep	baseline
0b25d79	0.750	0/1	codir-brief:0.75	0.10	keep	baseline MCP fixed
