commit	avg_score	passed	task_scores	cost_usd	status	description
1276def	0.150	0/1	formulaire-pac:0.15	0.05	keep	baseline
0b25d79	0.800	0/1	formulaire-pac:0.8	0.10	keep	baseline MCP fixed
